Tims,Data,Scores,Labels
213,95.1531,,
214,95.636,,
215,97.3446,3.706694019533625,2
216,97.7068,,
217,97.6046,,
218,99.1182,,
219,99.6754,,
220,99.3411,1.761055100723212,1
221,100.2883,,
222,101.5883,,
223,100.8454,,
224,101.0869,,
225,101.3759,6.581238002044799,2
226,101.665,,
227,101.4972,,
228,102.3085,,
229,103.7541,,
230,105.2183,2.4559420564877463,1
231,106.4867,,
232,106.3095,,
233,107.6898,,
234,106.9437,,
235,108.4732,3.3159367871746497,2
236,108.6224,,
237,110.6322,,
238,109.6763,,
239,110.9819,,
240,110.9166,-1.8247093626913082,-1
241,107.3167,,
242,106.9064,,
243,108.1188,,
244,107.7084,,
245,107.2514,-2.7262935764667904,-1
246,104.8266,,
247,106.4307,,
248,104.4069,,
249,104.0992,,
250,102.3365,0.6211811499395198,0
251,100.9329,,
252,99.5527,,
253,102.0381,,
254,105.0598,,
255,104.2484,3.1354766428454477,2
256,105.3302,,
257,104.9572,,
258,104.4629,,
259,106.3095,,
260,106.2349,-4.051075457947518,-2
261,104.9385,,
262,102.9427,,
263,101.9635,,
264,99.091,,
265,99.1003,1.1800868026128148,1
266,100.4899,,
267,104.351,,
268,104.4629,,
269,101.8889,,
270,102.7935,-0.3110291599366226,0
271,102.4018,,
272,99.6226,,
273,98.8485,,
274,101.3946,,
275,102.1687,0.23343452424484454,0
276,104.8266,,
277,105.3675,,
278,105.4795,,
279,101.7863,,
280,107.5406,2.819673480984762,1
281,110.8887,,
282,109.2659,,
283,110.6369,,
284,110.6555,,
285,111.5042,6.222729908844421,2
286,112.3,,
287,111.3544,,
288,112.0941,,
289,114.2475,,
290,116.9254,3.3463931682019794,2
291,118.4047,,
292,118.9852,,
293,119.6875,,
294,120.5161,,
295,120.268,0.04076841362387616,0
296,121.2464,,
297,124.5281,,
298,123.751,,
299,120.5863,,
300,122.1078,-0.37589322182437324,0
301,120.2773,,
302,120.8672,,
303,121.12,,
304,120.3522,,
305,118.3579,-4.774117090104754,-2
306,118.5358,,
307,119.0414,,
308,116.5789,,
309,114.4535,,
310,116.5228,3.9984907925361792,2
311,115.7175,,
312,116.9909,,
313,118.9478,,
314,120.2867,,
315,119.3738,-5.905196473179832,-2
316,117.8804,,
317,119.107,,
318,118.6201,,
319,115.5209,,
320,116.3261,0.784265230352666,0
321,115.3992,,
322,118.3205,,
323,116.504,,
324,116.3355,,
325,117.3373,2.319727315889333,1
326,119.238,,
327,117.9834,,
328,117.5995,,
329,118.4984,,
330,119.004,-1.44165016716033,-1
331,118.7699,,
332,118.2549,,
333,118.7043,,
334,118.1332,,
335,116.8037,2.6880833164233895,1
336,119.4721,,
337,118.8261,,
338,120.4271,,
339,121.4103,,
340,121.9814,-3.439979197356041,-2
341,124.2004,,
342,122.2436,,
343,120.4459,,
344,117.1782,,
345,120.7361,0.368619111612673,0
346,120.502,,
347,117.7868,,
348,117.0471,,
349,117.7711,,
350,119.99,4.751581120764472,2
351,118.7677,,
352,118.3399,,
353,118.4763,,
354,121.2405,,
355,121.0712,3.987148799447562,2
356,122.4063,,
357,122.2935,,
358,122.2841,,
359,123.5346,,
360,124.6158,-1.1106400673753412,-1
361,121.8704,,
362,124.1504,,
363,123.9013,,
364,122.491,,
365,122.7307,-4.127303144886725,-2
366,122.1901,,
367,122.3405,,
368,121.626,,
369,120.9584,,
370,120.1592,-2.6398156958559,-1
371,119.802,,
372,121.1747,,
373,120.902,,
374,119.5669,,
375,119.3318,-1.7052162161996471,-1
376,119.9712,,
377,119.6891,,
378,120.2345,,
379,119.031,,
380,119.9806,0.29247918671511836,0
381,119.4353,,
382,120.4507,,
383,119.8772,,
384,119.172,,
385,117.0847,-0.8788667173388717,0
386,117.9262,,
387,119.031,,
388,118.8805,,
389,118.4669,,
390,118.1754,-0.15303756871114188,0
391,115.2419,,
392,112.8914,,
393,115.9095,,
394,118.1472,,
395,118.1002,4.087690791950307,2
396,119.2378,,
397,120.8268,,
398,121.8704,,
399,124.1739,,
400,122.9329,-2.8089221986977386,-1
401,117.7335,,
402,117.6771,,
403,117.0565,,
404,115.43,,
405,116.0035,-6.0826753135333735,-2
406,115.6368,,
407,115.0539,,
408,114.0478,,
409,111.3588,,
410,107.786,1.3869978923823076,1
411,108.5006,,
412,108.7367,,
413,109.105,,
414,113.0718,,
415,107.1878,-1.198009839133635,-1
416,108.8406,,
417,108.7556,,
418,109.5206,,
419,110.654,,
420,110.0306,-3.29115011905904,-2
421,108.6234,,
422,106.3944,,
423,99.887,,
424,97.3936,,
425,97.9792,2.3221456328814805,1
426,103.5988,,
427,106.6494,,
428,106.9989,,
429,106.4983,,
430,101.7382,-0.23401959757209828,0
431,106.1016,,
432,104.241,,
433,103.2021,,
434,106.0733,,
435,104.0332,2.263659561501924,1
436,106.3189,,
437,107.8678,,
438,108.9067,,
439,109.8228,,
440,109.9456,-2.3705672541528187,-1
441,107.5939,,
442,107.15,,
443,108.8123,,
444,107.1028,,
445,107.9717,-4.65170201617125,-2
446,108.6139,,
447,108.34,,
448,106.1961,,
